
覂	feng
聍	ning
聎	tiao
聏	er
聈	you
聉	wa
聊	liao
聋	long
聄	zhen
聅	che
聆	ling
聇	zheng
聀	zhi
聂	nie
聃	dan
聝	guo
聜	di
聟	xu
聞	wen
聙	jing
聘	pin
聛	bi
聚	ju
聕	hao
联	lian
聗	lie
聖	sheng
聑	tie
聐	ya
聒	guo
聮	lian
聯	lian
聬	weng
聭	kui
聪	cong
聫	lian
聨	lian
聩	kui
聦	cong
聧	kui
聤	ting
聥	yu
聢	ding
聠	ping
聡	cong
聿	yu
聾	long
聽	ting
聼	ting
聺	qie
聹	ning
聸	dan
職	zhi
聶	nie
聵	kui
聴	ting
聳	song
聲	sheng
聱	ao
聰	cong
肁	zhao
肃	su
肂	si
肅	su
肄	yi
肇	zhao
肆	si
肉	rou
肈	zhao
肋	lei
肊	yi
肍	qiu
肌	ji
肏	cao
肎	ken
肐	ge
肑	bo
肒	huan
肓	huang
肔	chi
肕	ren
肖	xiao
肗	ru
肘	zhou
肙	yuan
肚	du
肛	gang
肜	rong
肝	gan
肞	cha
肟	wo
肣	han
肢	zhi
股	gu
肠	chang
肧	pei
肦	ban
肥	fei
肤	fu
肫	zhun
肪	fang
肩	jian
肨	pang
肯	ken
肮	ang
肭	na
肬	you
育	yu
肳	wen
肰	ran
肱	gong
肶	pi
肴	yao
肵	qi
肺	fei
肻	ken
肸	xi
肹	xi
肾	shen
肿	zhong
肼	jing
肽	tai
胅	die
胄	zhou
胇	fei
胆	dan
胁	xie
胀	zhang
胃	wei
胂	shen
胍	gua
背	bei
胏	fei
胎	tai
胉	bo
胈	ba
胋	tian
胊	qu
胔	zi
胕	fu
胗	zhen
胐	fei
胑	zhi
胒	ni
胓	peng
胜	sheng
胝	zhi
胞	bao
胟	mu
胘	xian
胙	zuo
胚	pei
胛	jia
胧	long
胦	yang
胥	xu
胤	yin
胣	chi
胢	ke
胡	hu
胠	qu
胯	kua
胭	yan
胬	nu
胫	jing
胪	lu
胩	ka
胨	dong
胶	jiao
胷	xiong
胴	dong
胵	zhi
胲	hai
胳	ge
胰	yi
胱	guang
胾	zi
胿	gui
胼	pian
能	neng
胺	an
胻	heng
胸	xiong
胹	er
茽	zhong
茼	tong
茿	zhu
茾	qian
茹	ru
茸	rong
茻	mang
茺	chong
茵	yin
茴	hui
茷	fa
茶	cha
茱	zhu
茰	yu
茳	jiang
茲	zi
茬	cha
茭	jiao
茮	jiao
茯	fu
茨	ci
茩	gou
茪	guang
茫	mang
茤	duo
茥	gui
茦	ce
茧	jian
茡	zi
茢	lie
茣	wu
茟	wei
茞	chen
茝	chai
茛	gen
茚	yin
茙	rong
茘	li
茗	ming
茖	ge
茕	qiong
茔	ying
茓	xue
茑	niao
茐	cong
茎	jing
茏	long
茌	chi
茍	ji
茊	zi
茋	zhi
茉	mo
茆	mao
茇	ba
茅	mao
茂	mao
范	fan
茀	fei
茁	zhuo
荹	bu
荸	bi
荻	di
荺	yun
荽	sui
荼	tu
荿	cheng
荾	sui
荱	wei
荰	du
荳	dou
荲	li
荵	ren
荴	fu
荷	he
荶	yin
荩	jin
荪	sun
荫	yin
荬	mai
荭	hong
荮	zhou
药	yao
荠	ji
荡	dang
荢	yu
荣	rong
荤	hun
荦	luo
荧	ying
荛	rao
荚	jia
荙	da
荘	zhuang
荟	hui
荞	qiao
荝	ce
荜	bi
荓	peng
荒	huang
荐	jian
荗	shu
荖	lao
荕	jin
荔	li
荊	jing
荋	er
荈	chuan
草	cao
荎	qi
荏	ren
荌	an
荍	qiao
荂	fu
荃	quan
荀	xun
荁	huan
荆	jing
荇	xing
荄	gai
荅	da
莴	wo
莵	tu
莶	xian
获	huo
莰	kan
莱	lai
莲	lian
莳	shi
莼	chun
莽	mang
莾	mang
莿	ci
莸	you
莹	ying
莺	ying
莥	niu
莤	you
莧	xian
莦	xiao
莡	cuo
莠	you
莣	wang
莢	jia
莭	jie
莬	wan
莯	mu
莮	nan
莨	liang
莫	mo
莪	e
莖	jing
莗	che
莔	meng
莕	xing
莒	ju
莓	mei
莐	chen
莑	peng
莟	han
莜	you
莝	cuo
莚	yan
莛	ting
莙	jun
莇	zhu
莅	li
莄	geng
莃	xi
莂	bie
莁	wu
莀	nong
莏	suo
莍	qiu
莌	tuo
莋	ji
莊	zhuang
莉	li
莈	mo
菰	gu
菱	ling
菲	fei
菳	qin
菴	an
菵	wang
菶	beng
菷	zhou
菸	yan
菹	zu
菺	jian
菻	lin
菼	tan
菽	shu
菾	tian
菿	dao
菡	han
菠	bo
菣	qin
菢	bao
菥	xi
菤	juan
菧	di
菦	qin
菩	pu
菨	jie
菫	jin
菪	dan
菭	tai
菬	qiao
華	hua
菮	geng
菒	gao
菓	guo
菐	pu
菑	zi
菖	chang
菗	chou
菔	fu
菕	lun
菚	zhan
菛	men
菘	song
菙	chui
菞	li
菟	tu
菜	cai
菝	ba
菃	qu
菂	di
菁	jing
菀	wan
菇	gu
菆	zou
菅	jian
菄	dong
菋	wei
菊	ju
菉	lu
菈	la
菏	he
菎	kun
菍	nie
舮	lu
舯	zhong
般	ban
舭	bi
航	hang
舫	fang
舨	ban
舩	chuan
舦	tai
舧	fan
舤	fan
舥	pa
舢	shan
舣	yi
舠	dao
舡	chuan
舿	kua
舾	xi
舽	pang
舼	hong
舻	lu
舺	xia
船	chuan
舸	ge
舷	xian
舶	bo
舵	duo
舴	ze
舳	zhu
舲	ling
舱	cang
舰	jian
舌	she
舍	she
舎	she
舏	jiu
興	xing
舉	ju
舊	jiu
舋	xin
舄	xi
舅	jiu
舆	yu
與	yu
舀	yao
舁	yu
舂	chong
舃	xi
舝	xia
舜	shun
舟	zhou
舞	wu
舙	hua
舘	guan
舛	chuan
舚	tian
舕	tan
舔	tian
舗	pu
舖	pu
舑	tan
舐	shi
舓	shi
舒	shu
艪	lu
艫	lu
艨	meng
艩	qi
艮	gen
良	liang
艬	chan
艭	shuang
艢	qiang
艣	lu
艠	deng
艡	dang
艦	jian
艧	huo
艤	yi
艥	ji
艻	le
艺	yi
艸	cao
艿	nai
艽	jiao
艼	ding
艳	yan
色	se
艱	jian
艰	jian
艷	yan
艶	yan
艵	ping
艴	fu
艉	wei
艊	bo
艋	meng
艌	nian
艍	ju
艎	huang
艏	shou
艀	fu
艁	zao
艂	feng
艃	li
艄	shao
艅	yu
艆	lang
艇	ting
艙	cang
艘	sou
艛	lou
艚	cao
艝	xue
艜	dai
艟	chong
艞	yao
艑	bian
艐	zong
艓	die
艒	mu
艕	bang
艔	dou
艗	yi
艖	cha
芧	xu
芦	lu
芤	kou
芣	fu
芢	ren
芡	qian
芠	wen
芯	xin
芮	rui
芭	ba
芬	fen
芪	qi
芩	qin
芨	ji
芶	ji
芷	zhi
芴	wu
芵	jue
芲	hua
芳	fang
芰	ji
花	hua
芿	reng
芼	mao
芽	ya
芺	tian
芻	chu
芸	yun
芹	qin
芅	yi
芄	wan
芇	mian
芆	cha
芁	jiao
芀	tiao
芃	peng
节	jie
芍	shao
芌	yu
芏	du
芎	xiong
芉	gan
芈	mi
芋	yu
芊	qian
芔	hu
芕	sui
芖	zhi
芗	xiang
芐	hu
芑	qi
芒	mang
芓	zi
芜	wu
芝	zhi
芞	qi
芟	shan
芙	fu
芚	tun
芛	wei
苢	yi
苡	yi
苠	min
苦	ku
若	ruo
苤	pie
苫	shan
苪	bing
苩	bai
苨	ni
苯	ben
苮	xian
苭	yao
苬	xiu
苲	zha
苳	dong
苰	hong
英	ying
苶	nie
苷	gan
苴	ju
苵	die
苺	mei
苻	fu
苸	hu
苹	ping
苾	bi
苿	wei
苼	rui
苽	gu
苁	cong
苀	hang
苃	you
苂	yin
苅	yi
苄	bian
苇	wei
苆	qie
苉	pi
苈	li
苋	xian
苊	e
苍	cang
苌	chang
苏	su
苎	zhu
苐	di
苑	yuan
苒	ran
苓	ling
苔	tai
苖	di
苗	miao
苘	qing
苙	li
苚	yong
苛	ke
苜	mu
苝	bei
苞	bao
苟	gou
蕗	lu
蕖	qu
蕕	you
蕔	bao
蕓	yun
蕒	mai
蕑	jian
蕐	hua
蕟	fei
蕞	zui
蕝	jue
蕜	fei
蕛	ti
蕚	e
蕙	hui
蕘	rao
蕆	chan
蕇	dian
蕄	meng
蕅	ou
蕂	sheng
蕃	fan
蕀	ji
蕎	qiao
蕏	zhu
蕌	lei
蕍	yu
蕊	rui
蕋	rui
蕈	xun
蕉	jiao
蕵	sun
蕴	yun
蕷	yu
蕶	ling
蕱	shao
蕰	wen
蕳	jian
蕲	qi
蕽	nong
蕼	si
蕿	xuan
蕾	lei
蕹	weng
蕸	xia
蕻	hong
蕺	ji
蕤	rui
蕥	ya
蕦	xu
蕧	fu
蕠	ru
蕡	fei
蕢	kui
蕣	shun
蕬	si
蕭	xiao
蕮	xi
蕯	long
蕨	jue
蕩	dang
蕪	wu
蕫	dong
蔒	hun
蔐	di
蔗	zhe
蔖	cu
蔕	di
蔔	bo
蔛	hu
蔚	wei
蔙	xuan
蔘	shen
蔟	cu
蔞	lou
蔝	mi
蔜	ao
蔃	jiang
蔀	bu
蔁	zhang
蔆	ling
蔇	ji
蔄	man
蔅	yan
蔊	han
蔋	di
蔈	biao
蔉	gun
蔎	she
蔏	shang
蔌	su
蔍	lu
蔱	sha
蔰	hu
蔳	qian
蔲	kou
蔵	zang
蔴	ma
蔷	qiang
蔶	ze
蔹	lian
蔸	dou
蔻	kou
蔺	lin
蔽	bi
蔼	ai
蔿	wei
蔾	li
蔠	zhong
蔡	cai
蔣	jiang
蔤	mi
蔥	cong
蔦	niao
蔧	hui
蔨	juan
蔩	yin
蔪	jian
蔫	nian
蔬	shu
蔭	yin
蔮	guo
蔯	chen
藞	la
藟	lei
藜	li
藝	yi
藚	xu
藛	xie
藘	lv
藙	yi
藖	xian
藗	su
藕	ou
藒	qie
藓	xian
藐	miao
藑	qiong
藎	jin
藍	lan
藌	mi
藋	di
藊	bian
藈	kui
藇	yu
藆	jian
藅	fa
藄	qi
藃	hao
藂	cong
藁	gao
藀	ying
藼	xuan
藽	qin
藾	lai
藿	huo
藸	chu
藹	ai
藺	lin
藻	zao
藴	yun
藵	bao
藶	li
藰	liu
藱	hui
藲	ou
藳	gao
藭	qiong
藬	tui
藯	wei
藮	qiao
藩	fan
藫	tan
藪	sou
藥	yao
藤	teng
藧	huan
藦	mo
藡	di
藠	jiao
藣	pi
藢	zhi
薚	tang
薛	xue
薘	da
薙	ti
薞	sun
薟	xian
薜	bi
薝	zhan
薒	can
薓	shen
薐	leng
薑	jiang
薖	ke
薗	yuan
薔	qiang
薕	lian
薋	zi
薊	ji
薉	hui
薈	hui
薏	yi
薎	mie
薍	wan
薌	xiang
薃	hao
薂	xi
薁	yu
薀	wen
薇	wei
薆	ai
薅	hao
薸	piao
薹	tai
薺	qi
薻	zao
薼	chen
薽	zhen
薾	er
薿	ni
薰	xun
薱	dui
薲	pin
薳	wei
薵	zhou
薶	wo
薷	ru
薩	sa
薨	hong
薫	xun
薪	xin
薭	bai
薬	yao
薯	shu
薮	sou
薡	ding
薠	fan
薣	gu
薢	xie
薥	zhu
薤	xie
薧	kao
薦	jian
葄	zuo
葅	zu
葆	bao
葇	rou
葀	kuo
葁	jiang
葂	mian
葃	ze
葌	jian
葍	fu
葎	lv
葏	jian
葈	xi
葊	an
葋	qu
葕	yan
葔	hou
著	zhu
葖	tu
葑	feng
葓	hong
葒	hong
葝	qing
葜	qia
葟	huang
葞	mi
葙	xiang
葘	zi
葛	ge
葚	shen
葦	wei
葧	bo
葤	zhou
葥	jian
葢	gai
董	dong
葡	pu
葮	duan
葯	yao
葬	zang
葭	jia
葪	ji
葫	hu
葨	wei
葩	pa
葷	hun
葶	ting
葵	kui
葴	zhen
葳	wei
葲	quan
葱	cong
葿	mei
葾	yuan
葽	yao
葼	zong
葻	lan
葺	qi
葹	shi
葸	xi
萀	hu
萁	qi
萂	he
萃	cui
萄	tao
萅	chun
萆	bi
萇	chang
萈	huan
萉	fei
萊	lai
萋	qi
萌	meng
萍	ping
萎	wei
萏	dan
萐	sha
萓	yi
萒	yan
萕	qi
萔	tiao
萗	ce
萖	guan
萙	zhen
萘	nai
萛	jiu
萚	tuo
萝	luo
萜	tie
萟	yi
萞	bi
萢	pao
萣	ding
萠	meng
萡	be
萦	ying
萧	xiao
萤	ying
营	ying
萪	ke
萫	xiang
萨	sa
萩	qiu
萮	yu
萯	fu
萭	yu
萳	nan
萲	xuan
萱	xuan
萰	lian
萷	xiao
萶	chun
萵	wo
萴	ce
萻	an
萺	mao
萹	pian
萸	yu
萿	kuo
萾	ying
萼	e
蓍	shi
蓌	cuo
蓏	luo
蓎	tang
蓉	rong
蓈	lang
蓋	gai
蓊	weng
蓅	liu
蓄	xu
蓇	gu
蓆	xi
蓁	zhen
蓀	sun
蓃	sou
蓜	pei
蓝	lan
蓟	ji
蓘	gun
蓙	zuo
蓚	tiao
蓛	ce
蓔	yao
蓕	gui
蓖	bi
蓗	zong
蓐	ru
蓑	suo
蓒	xuan
蓓	bei
蓯	cong
蓮	lian
蓭	an
蓬	peng
蓫	zhu
蓪	tong
蓩	mao
蓨	tiao
蓧	tiao
蓦	mo
蓥	ying
蓤	ling
蓣	yu
蓢	lang
蓠	li
蓾	lu
蓿	xu
蓼	liao
蓽	bi
蓺	yi
蓻	ji
蓸	cao
蓹	yu
蓶	wei
蓷	tui
蓴	chun
蓵	jie
蓳	jin
蓰	xi
蓱	ping
蒉	kui
蒈	kai
蒋	jiang
蒍	wei
蒌	lou
蒏	you
蒎	pai
蒁	shu
蒀	yun
蒃	zhuan
蒂	di
蒅	ran
蒄	guan
蒇	chan
蒆	xue
蒘	na
蒙	meng
蒚	li
蒛	que
蒜	suan
蒝	yuan
蒞	li
蒟	ju
蒐	sou
蒑	yin
蒒	shi
蒓	chun
蒔	shi
蒕	yun
蒖	zhen
蒗	lang
蒫	cuo
蒪	po
蒩	ju
蒨	qian
蒯	kuai
蒮	yu
蒭	chu
蒬	yuan
蒣	xu
蒢	chu
蒡	bang
蒠	xi
蒧	dian
蒦	wo
蒥	liu
蒤	tu
蒺	ji
蒻	ruo
蒸	zheng
蒹	jian
蒾	mi
蒿	hao
蒼	cang
蒽	en
蒲	pu
蒳	na
蒰	pan
蒱	pu
蒶	fen
蒷	yun
蒴	shuo
蒵	xi
蝱	meng
蝰	kui
蝳	dai
蝲	la
蝵	qiu
蝴	hu
蝷	li
蝶	die
蝹	yun
蝸	wo
蝻	nan
蝺	qu
蝽	chun
蝼	lou
蝿	ying
蝾	rong
蝠	fu
蝡	ruan
蝢	xie
蝣	you
蝥	mao
蝦	xia
蝧	ying
蝨	shi
蝩	zhong
蝪	tang
蝫	zhu
蝬	zong
蝭	ti
蝮	fu
蝯	yuan
蝓	yu
蝒	mian
蝑	xie
蝐	mao
蝗	huang
蝖	xuan
蝕	shi
蝔	jie
蝛	wei
蝚	nao
蝙	bian
蝘	yan
蝟	wei
蝞	mei
蝝	yuan
蝜	fu
蝂	ban
蝃	di
蝀	dong
蝁	e
蝆	mi
蝇	ying
蝄	wang
蝅	can
蝋	la
蝈	guo
蝉	chan
蝎	xie
蝏	ting
蝌	ke
蝍	ji
蜵	yuan
蜴	yi
蜷	quan
蜶	suo
蜱	pi
蜰	fei
蜳	dun
蜲	wei
蜽	liang
蜼	wei
蜿	wan
蜾	guo
蜹	wei
蜸	qian
蜻	qing
蜺	ni
蜤	xi
蜥	xi
蜦	lun
蜧	li
蜠	jun
蜡	la
蜢	meng
蜣	qiang
蜬	han
蜭	han
蜮	yu
蜯	bang
蜨	die
蜩	tiao
蜪	tao
蜫	kun
蜗	wo
蜖	hui
蜕	tui
蜔	dian
蜓	ting
蜒	yan
蜑	dan
蜐	jie
蜟	yu
蜞	qi
蜝	qi
蜜	mi
蜛	ju
蜚	fei
蜙	song
蜘	zhi
蜆	xian
蜇	zhe
蜄	zhen
蜅	fu
蜂	feng
蜃	shen
蜀	shu
蜁	xuan
蜎	yuan
蜏	you
蜌	bi
蜍	chu
蜊	li
蜋	lang
蜈	wu
蜉	fu
蟸	li
蟹	xie
蟻	ji
蟼	jing
蟽	da
蟾	chan
蟿	ji
蟰	xiao
蟱	wu
蟲	chong
蟳	xun
蟴	si
蟵	chu
蟶	cheng
蟷	dang
蟩	jue
蟨	jue
蟫	yin
蟪	hui
蟭	jiao
蟬	chan
蟯	nao
蟮	shan
蟡	gui
蟠	pan
蟣	ji
蟢	xi
蟥	huang
蟤	zhuan
蟧	lao
蟦	fei
蟚	peng
蟛	peng
蟘	te
蟙	zhi
蟞	bie
蟟	liao
蟜	jiao
蟝	qu
蟒	mang
蟓	xiang
蟐	chang
蟑	zhang
蟖	si
蟗	qiu
蟔	mo
蟕	zui
蟋	xi
蟊	mao
蟉	liao
蟈	guo
蟏	xiao
蟎	man
蟍	li
蟌	cong
蟃	man
蟂	xiao
蟁	wen
蟀	shuai
蟇	ma
蟆	ma
蟅	zhe
蟄	zhe
螼	qin
螽	zhong
螾	yin
螿	jiang
螸	yu
螹	jian
螺	luo
螻	lou
螴	chen
螵	piao
螶	ju
螷	pi
螰	lu
螱	wei
螲	die
螳	tang
螭	chi
螬	cao
螯	ao
螮	dai
螩	tiao
螨	man
螪	shang
螥	cang
螤	yu
螧	qi
螡	wen
螠	yi
螣	teng
螢	ying
螞	ma
螟	ming
螜	ao
螝	hui
螚	nai
螛	xia
螘	yi
螙	du
螖	hua
螗	tang
螔	yi
螕	pi
螒	han
螓	qin
螐	wu
螑	qiu
螏	ji
螎	rong
融	rong
螌	ban
螋	sou
螊	lian
螉	weng
螈	yuan
螇	xi
螆	ci
螅	xi
螄	si
螃	pang
螂	lang
螁	ban
螀	jiang
虢	guo
虣	bao
虠	jiao
虡	ju
虦	zhan
虧	kui
虤	yan
虥	zhan
虪	shu
虫	chong
虨	ban
虩	xi
虮	ji
虯	qiu
虬	qiu
虭	dao
虳	jue
虱	shi
虰	ding
虷	gan
虶	yu
虴	zhe
虻	meng
虺	hui
虹	hong
虸	zi
虿	chai
虾	xia
虽	sui
虼	ge
虀	ji
虁	kui
虂	lu
虃	xian
虅	teng
虆	lei
虇	quan
虈	xiao
虉	e
虊	luan
虋	men
虌	bie
虎	hu
虏	lu
虑	lv
虐	nue
虓	xiao
虒	si
處	chu
虔	qian
虗	xu
虖	hu
虙	lv
虘	cuo
虛	xu
虚	xu
虝	hu
虜	lu
號	hao
虞	yu
蘦	ling
蘧	qu
蘤	hua
蘥	yue
蘢	long
蘣	tou
蘠	qiang
蘡	ying
蘮	ji
蘯	dang
蘬	kui
蘭	lan
蘪	mei
蘫	lan
蘨	yao
蘩	fan
蘷	kui
蘶	wei
蘵	zhi
蘴	feng
蘳	hua
蘲	lei
蘱	lei
蘰	man
蘿	luo
蘾	huai
蘽	lei
蘼	ni
蘻	ji
蘺	li
蘹	huai
蘸	zhan
蘄	qi
蘅	heng
蘆	lu
蘇	su
蘀	tuo
蘁	e
蘂	rui
蘃	rui
蘌	yu
蘍	xun
蘎	ji
蘏	jiong
蘈	tui
蘉	mang
蘊	yun
蘋	pin
蘕	feng
蘔	jiong
蘗	bo
蘖	nie
蘑	mo
蘐	xuan
蘓	su
蘒	qiu
蘝	lian
蘜	ju
蘟	yin
蘞	lian
蘙	yi
蘘	rang
蘛	yu
蘚	xian
蛫	gui
蛪	qie
蛩	qiong
蛨	mo
蛯	lao
蛮	man
蛭	zhi
蛬	qi
蛣	jie
蛢	ping
蛡	yi
蛠	li
蛧	wang
蛦	yi
蛥	she
蛺	jia
蛻	tui
蛹	yong
蛾	e
蛿	han
蛼	che
蛽	bei
蛲	nao
蛳	si
蛰	zhe
蛱	jia
蛶	lie
蛷	qou
蛴	qi
蛵	xing
蛉	ling
蛈	tie
蛋	dan
蛊	gu
蛍	ying
蛌	gu
蛏	cheng
蛎	li
蛁	diao
蛀	zhu
蛃	bing
蛂	bie
蛅	zhan
蛄	gu
蛆	qu
蛘	yang
蛙	wa
蛚	lie
蛛	zhu
蛜	yi
蛝	xian
蛞	kuo
蛟	jiao
蛐	qu
蛑	mou
蛒	luo
蛓	ci
蛔	hui
蛕	hui
蛖	mang
蛗	fu
蚯	qiu
蚮	dai
蚭	ni
蚬	xian
蚫	piao
蚪	dou
蚩	chi
蚨	fu
蚧	jie
蚦	ran
蚥	fu
蚤	zao
蚣	gong
蚢	hang
蚡	fen
蚠	fen
蚾	bo
蚿	xian
蚼	gou
蚽	pi
蚺	ran
蚻	zha
蚸	li
蚹	fu
蚶	han
蚷	ju
蚴	you
蚵	he
蚲	ping
蚳	chi
蚰	you
蚱	zha
蚍	pi
蚏	yue
蚎	yue
蚉	wen
蚈	qian
蚋	rui
蚊	wen
蚅	e
蚄	fang
蚇	chi
蚆	ba
蚁	yi
蚀	shi
蚃	xiang
蚂	ma
蚜	ya
蚝	hao
蚞	mu
蚟	wang
蚘	you
蚙	qian
蚚	qi
蚛	zhong
蚔	qi
蚕	can
蚖	wan
蚗	jue
蚐	jun
蚑	qi
蚒	tong
蚓	yin
颳	gua
颲	lie
颱	tai
颰	ba
颷	biao
颶	ju
颵	xiao
颴	xuan
颻	yao
颺	yang
颹	wei
颸	si
颿	fan
颾	sao
颽	kai
颼	sou
颢	hao
颣	lei
颠	dian
颡	sang
颦	pin
颧	quan
颤	chan
颥	ru
颪	gua
颫	fu
風	feng
颩	diao
颮	biao
颯	sa
颬	xia
颭	zhan
频	pin
颐	yi
颓	tui
颒	pou
颕	ying
颔	han
颗	ke
颖	ying
颙	yong
题	ti
颛	zhuan
颚	e
额	e
颜	yan
颟	man
颞	nie
颀	qi
颁	ban
颂	song
颃	hang
预	yu
颅	lu
领	ling
颇	po
颈	jing
颊	jia
颋	ting
颍	ying
颎	jiong
颏	ke
飷	jie
飶	bi
飵	zuo
飴	yi
飳	zhu
飲	yin
飱	sun
飰	fan
飿	duo
飾	shi
飽	bao
飼	si
飻	tie
飺	ci
飹	liu
飸	tao
飦	jian
飧	sun
飤	si
飥	tuo
飢	ji
飣	ding
飠	shi
飡	can
飮	yin
飯	fan
飬	juan
飭	chi
飪	ren
飫	yu
飨	xiang
飩	tun
飕	sou
飔	si
飗	liu
飖	yao
飑	biao
飐	zhan
飓	ju
飒	sa
飝	fei
飜	fan
飞	fei
飙	biao
飘	piao
飛	fei
飚	biao
飄	piao
飅	liu
飆	biao
飇	biao
飀	liu
飁	xi
飃	piao
飌	feng
飍	xiu
风	feng
飏	yang
飈	biao
飉	liao
飊	biao
飋	se
頺	tui
頻	pin
頸	jing
頹	tui
頾	zi
頿	zi
頼	lai
頽	tui
頲	ting
頳	cheng
頰	jia
頱	luo
頶	hu
頷	han
頴	ying
頵	yun
頫	tiao
頪	lei
頩	ping
頯	kui
頮	pou
頭	tou
頬	jia
頣	yi
頢	kuo
頠	wei
頧	dui
頦	ke
頥	yi
頤	yi
領	ling
頙	che
頝	qiao
頞	e
頟	e
預	yu
頑	wan
頒	ban
頓	dun
頔	di
頕	dan
頖	pan
頗	po
頉	yi
須	xu
頋	gu
頊	xu
頍	kui
頌	song
頏	hang
頎	qi
頁	ye
頀	hu
頃	qing
頂	ding
項	xiang
頄	qiu
頇	han
順	shun
顾	gu
顿	dun
顼	xu
顽	wan
顺	shun
须	xu
顸	han
项	xiang
顶	ding
顷	qing
顴	quan
页	ye
顲	lan
顳	nie
顰	pin
顱	lu
顯	xian
顮	bin
顭	hong
顬	ru
顫	chan
顪	hui
顩	yan
顨	xun
顧	gu
顦	qiao
顥	hao
顤	yao
顣	cu
顢	man
顡	yi
顠	piao
顜	jiang
顝	ku
類	lei
顟	liao
願	yuan
顙	sang
顚	dian
顛	dian
顔	yan
顕	xian
顖	xin
顗	yi
顐	hun
顑	kan
顒	yong
顓	zhuan
額	e
題	ti
顏	yan
顎	e
顉	qin
顈	jiong
顋	sai
顊	yi
顅	qian
顄	han
顇	zu
顆	ke
顁	ding
顀	chui
顃	tan
顂	lai
馠	han
馡	fei
馢	jian
馣	an
馤	jie
馥	fu
馦	xian
馧	wo
馨	xin
馩	fen
馪	pin
馫	xin
馬	ma
馭	yu
馮	feng
馯	han
馱	tuo
馰	di
馳	chi
馲	tuo
馵	zhu
馴	xun
馷	pei
馶	zhi
馹	ri
馸	jin
馻	yun
馺	sa
馽	zhi
馼	wen
馿	lv
馾	dan
馂	jun
馃	guo
馀	yu
馁	nei
馆	guan
馇	cha
馄	hun
馅	xian
馊	sou
馋	chan
馈	kui
馉	gu
馎	bo
馏	liu
馌	ye
馍	mo
馓	san
馒	man
馑	jin
馐	xiu
馗	kui
首	shou
馕	nang
馔	zhuan
馛	ba
馚	fen
香	xiang
馘	guo
馟	tu
馞	bo
馝	bi
馜	ni
駤	zhi
駥	xue
駦	teng
駧	dong
駠	liu
駡	ma
駢	pian
駣	tao
駬	er
駭	hai
駮	bo
駯	zhu
駨	ju
駩	quan
駪	shen
駫	jiong
駵	liu
駴	hai
駷	song
駶	ju
駱	luo
駰	yin
駳	dan
駲	zhou
駽	xuan
駼	tu
駿	jun
駾	tui
駹	mang
駸	qin
駻	han
駺	liang
駆	qu
駇	pu
駄	duo
駅	yi
駂	bao
駃	kuai
駀	you
駁	bo
駎	zhou
駏	ju
駌	yuan
駍	pei
駊	po
駋	zhao
駈	qu
駉	jiong
駗	zhen
駖	ling
駕	jia
駔	zang
駓	pi
駒	ju
駑	nu
駐	zhu
駟	si
駞	tuo
駝	tuo
駜	bi
駛	shi
駚	yang
駙	fu
駘	tai
餩	e
館	guan
餫	yun
餪	nuan
餭	huang
餬	hu
餯	hui
餮	tie
餡	xian
餠	bing
餣	ye
餢	bu
餥	fei
餤	dan
餧	wei
餦	zhang
餸	song
餹	tang
餺	bo
餻	gao
餼	xi
餽	kui
餾	liu
餿	sou
餰	jian
餱	hou
餳	xing
餴	fen
餵	wei
餶	gu
餷	zha
餋	juan
養	yang
餉	xiang
餈	ci
餏	xi
餎	le
餍	yan
餌	er
餃	jiao
餂	tian
餁	ren
餀	hai
餇	tong
餆	yao
餅	bing
餄	he
餚	yao
餛	hun
餘	yu
餙	xi
餞	jian
餟	zhui
餜	guo
餝	chi
餒	nei
餓	e
餐	can
餑	bo
餖	dou
餗	su
餔	bu
餕	jun
饭	fan
饬	chi
饯	jian
饮	yin
饩	xi
饨	tun
饫	yu
饪	ren
饥	ji
饤	ding
饧	xing
饦	tuo
饡	zan
饠	luo
饢	nang
饼	bing
饽	bo
饾	dou
饿	e
饸	he
饹	le
饺	jiao
饻	xi
饴	yi
饵	er
饶	rao
饷	xiang
饰	shi
饱	bao
饲	si
饳	duo
饏	dan
饎	xi
饍	shan
饌	zhuan
饋	kui
饊	san
饉	jin
饈	xiu
饇	yu
饆	bi
饅	man
饄	tang
饃	mo
饂	wen
饁	ye
饀	tao
饞	chan
饟	xiang
饜	yan
饝	mo
饚	hai
饛	meng
饘	zhan
饙	fen
饖	wei
饗	xiang
饔	yong
饕	tao
饒	rao
饓	cheng
饑	ji
骕	su
骔	zong
骗	pian
骖	can
骐	qi
骓	zhui
骒	ke
骝	liu
骜	ao
骟	shan
骞	qian
骙	kui
骘	zhi
骛	wu
骚	sao
骄	jiao
骅	hua
骆	luo
骇	hai
骀	tai
骁	xiao
骂	ma
骃	yin
验	yan
骍	xing
骎	qin
骏	jun
骈	pian
骉	biao
骊	li
骋	cheng
骷	ku
骶	di
骵	ti
骴	zhai
骳	bi
骲	bao
骱	jie
骰	tou
骿	pian
骾	geng
骽	tui
骼	ge
骻	kua
骺	hou
骹	jiao
骸	hai
骦	shuang
骧	xiang
骤	zhou
骥	ji
骢	cong
骣	chan
骠	biao
骡	luo
骮	yi
骯	ang
骬	yu
骭	gan
骪	wei
骫	wei
骨	gu
骩	wei
髑	du
髐	xiao
髓	sui
髒	zang
髕	bin
